Names,links,Image,Description
5 Best Sidearms to Use in Call of Duty Black Ops 6,https://timesofindia.indiatimes.com/sports/esports/call-of-duty/5-best-sidearms-to-use-in-call-of-duty-black-ops-6/articleshow/118392565.cms,,5 Best Sidearms to Use in Call of Duty Black Ops 6
"At Maha Kumbh, Naga Sadhus lead ‘Undekha Eye Test’ to raise awareness of vision and diabetes",https://timesofindia.indiatimes.com/speaking-tree/daily-ecstasy/at-maha-kumbh-naga-sadhus-lead-undekha-eye-test-to-raise-awareness-of-vision-and-diabetes/articleshow/118392553.cms,,"At Maha Kumbh, Naga Sadhus lead ‘Undekha Eye Test’ to raise awareness of vision and diabetes"
Rich Dana,https://timesofindia.indiatimes.com/sports/mma/news/500-million-rich-dana-white-reveals-his-heartfelt-connection-to-maine-after-buying-his-childhood-street-thats-why-i-invested-so-much/articleshow/118348166.cms,,Trending News
Rekha Gupta,https://timesofindia.indiatimes.com/india/bjp-names-rekha-gupta-delhi-chief-minister-oath-ceremony-set-for-thursday-at-ramlila-maidan/articleshow/118383493.cms,,
BJP Delhi CM,https://timesofindia.indiatimes.com/india/celebrations-erupt-outside-rekha-guptas-residence-as-bjp-names-her-delhis-next-cm/articleshow/118392292.cms,,
Who is Rekha Gupta,https://timesofindia.indiatimes.com/india/who-is-rekha-gupta-delhis-next-chief-minister/articleshow/118391683.cms,,Entertainment
Ranveer Allahbadia,https://timesofindia.indiatimes.com/sports/wwe/top-stories/ranveer-allahbadia-breaks-silence-on-controversy-apologizes-fiercely-after-ex-wwe-star-threatens-him/articleshow/118303725.cms,,Salman's leaked video sparks rumours about H'wood debut
IND vs PAK Head to Head,https://timesofindia.indiatimes.com/sports/cricket/india-vs-pakistan-head-to-head-upcoming-match-schedule-and-results/108258195,,Celebs arrive for Aadar-Alekha's grand mehendi ceremony
Champions Trophy Schedule 2025,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy/schedule-fixtures,,Salman Khan's MPK jacket was inspired by Tom Cruise
Saqlain Mushtaq,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/india-ko-sabak-sikhana-chahiye-says-former-pakistan-spinner-saqlain-mushtaq/articleshow/118379786.cms,,Mollywood turmoil deepens as producers' rift escalates
